['', 'WGWF36DH.2', '横向移动车', '1', '部件', '', '9177', '', Vec3(137745.3362776371, -125584.2726115431, 0.0)]
['', 'GB5783-2000', '螺栓M20X65', '32', '', '', '', '含平垫弹垫', Vec3(164839.68367447, -136561.804818077, 0.0)]
['', 'GB5783-2000', '螺栓M12X40', '64', '', '', '', '含螺母平垫弹垫', Vec3(164839.68367447, -136736.804818077, 0.0)]
['', 'GB5783-2000', '螺栓M12X40', '96', '', '', '', '含平垫弹垫', Vec3(164839.68367447, -136911.804818077, 0.0)]
['', 'GB5783-2000', '螺栓M20X40', '24', '', '', '', '含平垫弹垫', Vec3(164839.68367447, -137086.804818077, 0.0)]
['', 'GB5783-2000', '螺栓M12X35', '4', '', '', '', '含平垫弹垫', Vec3(164839.68367447, -137261.804818077, 0.0)]
['', 'GB5783-2000', '螺栓M16X60', '40', '', '', '', '含螺母平垫弹垫', Vec3(164839.6836803008, -137611.804818077, 0.0)]
['', 'GB/T1096-2003', '键28X16--93', '8', '', '', '', '', Vec3(164839.6836717532, -138485.3534995749, 0.0)]
['', 'GB/T1096-2003', '键20X12--80', '4', '', '', '', '', Vec3(164839.6836717532, -138660.3534995749, 0.0)]
['', 'GB13871-1992', '唇形密封圈B90X115X12', '48', '', '', '', '外购', Vec3(164839.6836717532, -139009.6276070276, 0.0)]
['', '', '圆螺母用止动垫圈,圆螺母M100X2', '12', '', '', '', '外购', Vec3(164839.6836717532, -139184.6276070276, 0.0)]
['', 'GB75-85', '开槽长圆柱螺钉M6X25', '16', '', '', '', '', Vec3(164839.6838036949, -139885.7160634587, 0.0)]
['', 'TF98-113.61-M1-I', '减速箱', '2', '外购', '', '', '', Vec3(164839.6836756386, -135162.8932610386, 0.0)]
['', 'SWC150WH-500', '万向联轴器', '4', '外购', '', '', '', Vec3(164839.6836756386, -134987.8932610386, 0.0)]
['', 'TKAT98-YV7.5-4P-70.54-M1-II', '减速机', '4', '外购', '', '', '', Vec3(164839.6836756386, -135512.8932610386, 0.0)]
['', '22316CC/W33', '调心滚子轴承', '16', '外购', '', '', '', Vec3(164839.6836756386, -135337.8932610386, 0.0)]
['1', 'WGWF36DH.2.1', '车体1', '1', '组件', '4781.4', '4781.4', '', Vec3(137745.3362904649, -125934.2726110442, 0.0)]
['1', 'WGWF36DH.2.1.1', '旋转辊总成', '2', '组件', '432.1', '864.2', '', Vec3(137745.3362776371, -126109.2726110442, 0.0)]
['3', 'WGWF36DH.2.1.3', '架体', '1', '焊接件', '', '1859.5', '', Vec3(137745.3362776371, -129609.271736546, 0.0)]
['2', 'WGWF36DH.2.1.2', '滑动座', '2', '焊接件', '82.1', '164.2', '', Vec3(137745.3362776371, -128559.2726110441, 0.0)]
['', 'WGWF36DH.2.1.1-8', '端盖', '4', 'Q235A', '5.9', '23.6', '', Vec3(137745.3362776371, -127509.2726110442, 0.0)]
['', 'WGWF36DH.2.1.1.1', '密封套', '1', '焊接件', '0.9', '0.9', '', Vec3(137745.3362776371, -127684.2726110442, 0.0)]
['', 'WGWF36DH.2.1.1-1', '轴承座', '2', 'ZG340-640', '20', '40', '', Vec3(137745.3362776371, -126284.2726110442, 0.0)]
['', 'WGWF36DH.2.1.1-2', '主轴', '1', '45', '45.4', '45.4', '', Vec3(137745.3362776371, -126459.2726110442, 0.0)]
['', 'WGWF36DH.2.1.1-3', '辊轮', '1', 'ZG45', '102', '102', '', Vec3(137745.3362776371, -126634.2726110442, 0.0)]
['', 'WGWF36DH.2.1.1-4', '隔套', '1', 'Q235A', '1', '1', '', Vec3(137745.3362776371, -126809.2726110442, 0.0)]
['', 'WGWF36DH.2.1.1-5', '减速机固定板1', '1', 'Q235A', '1.6', '1.6', '', Vec3(137745.3362776371, -126984.2726110442, 0.0)]
['', 'TKAT98-YV7.5-4P-70.54-M1-II', '减速机', '1', '外购', '', '150', '', Vec3(137745.3362776371, -128209.2726110442, 0.0)]
